"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0zhYqLr3gzuHIX8TZdASpe","Empty Bottles","spotify:artist:0qSmL7sKGnptQ7G8512kYy","Freqax","spotify:album:56sZXGCYm5kMPU4mU7vv0b","Empty Bottles","spotify:artist:0qSmL7sKGnptQ7G8512kYy","Freqax","2020-08-10","https://i.scdn.co/image/ab67616d0000b2737ac3ecc2d94e2a35f98d24f5","1","1","336551","https://p.scdn.co/mp3-preview/cc8e5d44ba9cca47fbcd445c54f363617e5bbe47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","QZAMM1918948","spotify:user:11126428529","2020-08-13T11:18:51Z"
"spotify:track:5MXrWGGTmIWQGeToujyumq","Like This - Smooth Remix","spotify:artist:2VhiJ9TTWHMZl8jXUAMAgJ, spotify:artist:7yRkgZyRXaO7oh1hTEyKNo","Dub Elements, Smooth","spotify:album:2WvP8lk1Z8enlzqYySufsW","Dub Elements & Friends (Remixes) Pt.1","spotify:artist:2VhiJ9TTWHMZl8jXUAMAgJ","Dub Elements","2020-08-07","https://i.scdn.co/image/ab67616d0000b273586103dd5a619d2c7ae0cdfc","1","3","253793","https://p.scdn.co/mp3-preview/6bec72b92ba1f9c6b2a07f378511b8ae70b7cc65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB8KE2052036","spotify:user:11126428529","2020-08-14T14:36:35Z"
"spotify:track:0VOGpKxBSO8LQQQ16IxTx4","Galactic Subduction - Sinister Souls Remix","spotify:artist:243PLqNNIyCzGQlKdnGmOJ, spotify:artist:6XPfY4QyCgpGvRcvHt4b7W","Katharsys, Sinister Souls","spotify:album:5HCfiIflzTxcCU2T6biEks","Metallicty LP Remixed Part 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-08-14","https://i.scdn.co/image/ab67616d0000b2737a6eee87a54cd8015d466f8e","1","4","293340","https://p.scdn.co/mp3-preview/bc48921c701ff4ed35c96b3dc74fd0ac03440575?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","NLCK41071369","spotify:user:11126428529","2020-08-14T15:14:38Z"
"spotify:track:55oEMPn7GcYw0QnEPC7JRR","Nyx","spotify:artist:1dDzlLlakr2JyoK4EtRv5L, spotify:artist:6Piel9jEbV4Qb18Yw1B2dI","Neonlight, State of Mind","spotify:album:2jRDWwBxGM3YkRzY93r2xK","Prophecy & Nyx","spotify:artist:1dDzlLlakr2JyoK4EtRv5L, spotify:artist:6Piel9jEbV4Qb18Yw1B2dI","Neonlight, State of Mind","2020-08-24","https://i.scdn.co/image/ab67616d0000b273063985b25d187ed551348276","1","2","248461","https://p.scdn.co/mp3-preview/da8672079f3f4b6fccd899aa533cd97d504091d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","NLCK41071872","spotify:user:11126428529","2020-08-27T18:34:17Z"
"spotify:track:3VlrAdXVX5VjQTj6hN3k6U","Nasty","spotify:artist:1DMvj4SEEjbBdszYfv2yoY","Kursiva","spotify:album:3MWbypTnM1WuT8C2N6LzNx","Nasty","spotify:artist:1DMvj4SEEjbBdszYfv2yoY","Kursiva","2020-08-21","https://i.scdn.co/image/ab67616d0000b273fa9dbe747c6416525780e2b9","1","1","249771","https://p.scdn.co/mp3-preview/f9d523bef2cf271072171811544e7a34e1325e2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","GBTEL1800195","spotify:user:11126428529","2020-08-28T10:49:56Z"
"spotify:track:7AX0w8d5OnNxbU2eGhrgIC","Tarkin","spotify:artist:0CRJK2gwHjs3IKm4uhjNTR, spotify:artist:1dDzlLlakr2JyoK4EtRv5L","Pythius, Neonlight","spotify:album:6jtDJxPGugVMtKgVNRs5gS","Heresy","spotify:artist:0CRJK2gwHjs3IKm4uhjNTR","Pythius","2016-08-28","https://i.scdn.co/image/ab67616d0000b2732a9451acec3df45dcc2e02c9","1","2","304827","https://p.scdn.co/mp3-preview/634efbf7909dcb56abbccbd396fb3a39fb85b75f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USA2P1673279","spotify:user:11126428529","2020-09-05T21:10:22Z"
"spotify:track:78XDGyyMWYp9LlfygSyYV8","Bomber","spotify:artist:0umDTRGYujQH31KZq9FdrU","Loadstar","spotify:album:07VB5JYWSybl1MB3m6AdMF","Passenger / Bomber","spotify:artist:0umDTRGYujQH31KZq9FdrU","Loadstar","2012-07-09","https://i.scdn.co/image/ab67616d0000b273a5ce40c4e8a66e23b23ef47a","1","3","270260","https://p.scdn.co/mp3-preview/70b8ce4249b5ab5174fea820fe34e7aa89e9e919?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBBZH1391719","spotify:user:11126428529","2020-09-06T09:41:48Z"
"spotify:track:6SiIq2zc4Rs1au0gCC7YMO","Anomaly","spotify:artist:4YWj8sohRDjL9deiuRvEEY","Noisia","spotify:album:73TmwDD6mBOZh6sF9sKXZo","Outer Edges","spotify:artist:4YWj8sohRDjL9deiuRvEEY","Noisia","2016-08-05","https://i.scdn.co/image/ab67616d0000b2732cea65f811c7744a24f3a540","1","2","243123","https://p.scdn.co/mp3-preview/f8618634d15420ffdc286af09c18329bf75bf555?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USA2P1659823","spotify:user:11126428529","2020-09-14T15:29:50Z"
"spotify:track:1QhSAmBQmIYLQpn6vRR5bP","Beam Cannon","spotify:artist:42EZt9LfgsaF0WHlDC3FoM","Spor","spotify:album:0vd0XyemoIvoxYo0A2pVQQ","Anachronic","spotify:artist:42EZt9LfgsaF0WHlDC3FoM","Spor","2020-07-24","https://i.scdn.co/image/ab67616d0000b273a64b8db874b7c69f479ecfc4","1","2","305075","https://p.scdn.co/mp3-preview/d8747c4020c0d77b200b1662ecb9924bdc73cde1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBKPL2010180","spotify:user:11126428529","2020-09-18T12:30:14Z"
"spotify:track:0lihXHdFfVrGwrw3bGpVvc","Hell Circus","spotify:artist:4rn92oT75PYygDjpjAKDZ2, spotify:artist:4XCq6wVD10ui7rkXScdWvP","Shadow Sect, The Satan","spotify:album:243hU30sxVmsDQxrf5Sl9e","Hell Circus","spotify:artist:4rn92oT75PYygDjpjAKDZ2, spotify:artist:4XCq6wVD10ui7rkXScdWvP","Shadow Sect, The Satan","2020-09-14","https://i.scdn.co/image/ab67616d0000b273d0200ccbddf91d4d542eec09","1","1","251142","","true","0","QZK6H2016647","spotify:user:11126428529","2020-09-20T08:48:00Z"
"spotify:track:5rswKMII5Q6TEPHbIiTL1F","Sion","spotify:artist:7khXTDDp4ZkGEoSCUB5Hyt","Trilo","spotify:album:2uX67LHkQZK1J4BjEUlhpW","Sion","spotify:artist:7khXTDDp4ZkGEoSCUB5Hyt","Trilo","2020-10-05","https://i.scdn.co/image/ab67616d0000b2731359b26888845f597bbf544c","1","1","265066","https://p.scdn.co/mp3-preview/3ac5268f4af928ea7be835aa20b5fc0c6dd65dea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB8KE2053979","spotify:user:11126428529","2020-10-05T15:24:14Z"
"spotify:track:4HyQWI4EPkwSvgGeVpzhms","Pericardium","spotify:artist:4ZbjiLE1qucIP4GNT38uvr","Cyntax","spotify:album:1UvUViCZApmTv82PmSYjcz","INCEPTION V.1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-09-14","https://i.scdn.co/image/ab67616d0000b2737ea6ec5fe735cc6d356e7e85","1","5","248448","https://p.scdn.co/mp3-preview/fa8fa54f9f1f0b866807ba65499bd1ac6dddb55d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB8KE2053561","spotify:user:11126428529","2020-10-11T16:22:58Z"
"spotify:local:::Prodigy+Vs+Enya+-+Smack+My+Bitch+Up+Orinoco+Flow:278","Prodigy Vs Enya - Smack My Bitch Up Orinoco Flow","","","","","","","","","0","0","278000","","false","0","","spotify:user:11126428529","2020-10-15T15:43:26Z"
"spotify:track:2PbdKuP2JjacU8ayG5tXX1","Hangjaw","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","spotify:album:4zY7oAlcUHOwUFnVxH8u2V","Hangjaw","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","2020-03-02","https://i.scdn.co/image/ab67616d0000b2735293c95ac2be02e914614f46","1","1","222068","https://p.scdn.co/mp3-preview/fbf5ef5ecb0f3f020106a2746281ed76835aa2bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","NLCK41062680","spotify:user:11126428529","2020-10-18T06:38:35Z"
"spotify:track:7mCJK1jOkP7XinjJah1CvA","Dark Cloud - Enei Remix","spotify:artist:501MfkAIop4dRLvOqjlMHl, spotify:artist:5RBFw1UkHw2NBsZFtheDEl, spotify:artist:6X3QjCYg5HcTwO5FPVQj0J","Murdock, Dynamite MC, Enei","spotify:album:14E5uFdo4xV4dd9iCVd4vD","Dark Cloud (Enei Remix)","spotify:artist:501MfkAIop4dRLvOqjlMHl, spotify:artist:6X3QjCYg5HcTwO5FPVQj0J","Murdock, Enei","2020-10-09","https://i.scdn.co/image/ab67616d0000b27334cc5d49e5e7415d6b6e87f4","1","1","275862","https://p.scdn.co/mp3-preview/c548e1728465ee74a9f45cccbf8789818e8b55e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBTMZ2001026","spotify:user:11126428529","2020-10-24T12:18:34Z"
"spotify:track:6vC9oSJZ2boKO4munDHVO2","Washoku","spotify:artist:3yyEYoHrjvoUtLJ6n2Wz83, spotify:artist:6QdPmt0Rl8xMvugvXU0tHZ","Burr Oak, TR Tactics","spotify:album:6TMFtc7QSHKas6F2ybZEYp","Polar Lows","spotify:artist:3yyEYoHrjvoUtLJ6n2Wz83, spotify:artist:6QdPmt0Rl8xMvugvXU0tHZ","Burr Oak, TR Tactics","2020-10-30","https://i.scdn.co/image/ab67616d0000b273222f7e73e10cf145e4b14a64","1","2","248275","https://p.scdn.co/mp3-preview/96ea5765f124785cf4ad2bc162cc4c68847b57f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GB8KE2054734","spotify:user:11126428529","2020-11-02T17:33:41Z"
"spotify:track:1gIpkvenfpTm1HiWW68fdU","Steinhagel - 2020 VIP","spotify:artist:2DcPGpnRStvxX5m8JHIStN","Tobax","spotify:album:7eEgMu7ZimLhEdt4BGRmJn","Steinhagel (2020 VIP)","spotify:artist:2DcPGpnRStvxX5m8JHIStN","Tobax","2020-11-16","https://i.scdn.co/image/ab67616d0000b273041907ea68a29cf247f5ad7e","1","1","283110","https://p.scdn.co/mp3-preview/fd825f5335a5eb00c3f50e1eb9e002c6823d1824?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","GB8KE2055349","spotify:user:11126428529","2020-11-18T15:28:41Z"
"spotify:track:7fxeESvsUgZnoPIwzXdV9t","Mindgame","spotify:artist:6QdPmt0Rl8xMvugvXU0tHZ","TR Tactics","spotify:album:2n8TVwaNcqX5bBuBRw1PiY","Mindgame / Beyond The Mass","spotify:artist:6QdPmt0Rl8xMvugvXU0tHZ","TR Tactics","2020-11-23","https://i.scdn.co/image/ab67616d0000b27393960b05ec5ec94e202f79bf","1","1","287112","https://p.scdn.co/mp3-preview/8fa3af1b8000c9e678a72c077fe0bd68e01c7f1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","GB8KE2056009","spotify:user:11126428529","2020-11-24T18:41:38Z"
